"X1","ids_lookup","sunburst_wheel","ids","selector","labels","risk","titles","parents","values","node","element","link"
29,"MNSs - mild_1",1,"MNSs - mild","MNSs - mild","MNSs","Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life""","MNSs","mild",1.78571428571429,"1, 2, 7, 8","p","https://en.wikipedia.org/wiki/MNS_antigen_system"
30,"Rhesus - mild_1",1,"Rhesus - mild","Rhesus - mild","Rhesus","Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life""","Rhesus","mild",1.78571428571429,"1, 18, 19","p","https://en.wikipedia.org/wiki/Rh_blood_group_system"
31,"Scianna - mild_1",1,"Scianna - mild","Scianna - mild","Scianna","Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life""","Scianna","mild",1.78571428571429,"1","p","https://en.wikipedia.org/wiki/Scianna_antigen_system"
32,"Vel - mild_1",1,"Vel - mild","Vel - mild","Vel","Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life""","Vel","mild",1.78571428571429,"1, 5","p","https://en.wikipedia.org/wiki/Vel_blood_group"
33,"Xg - mild_1",1,"Xg - mild","Xg - mild","Xg","Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life""","Xg","mild",1.78571428571429,"1, 2","p","https://en.wikipedia.org/wiki/Xg_antigen_system"
34,"High_prevalence_antigen - mild_1",1,"High_prevalence_antigen - mild","High_prevalence_antigen - mild","High_prevalence_antigen","Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life""","High_prevalence_antigen","mild",1.78571428571429,"7","p","https://en.wikipedia.org/wiki/Human_red_cell_antigens"
35,"Chido_Rogers - none_1",1,"Chido_Rogers - none","Chido_Rogers - none","Chido_Rogers","None - ""no published reports of association with HDFN""","Chido_Rogers","none",0.806451612903226,"1","p","https://en.wikipedia.org/wiki/Complement_component_4"
36,"Cromer - none_1",1,"Cromer - none","Cromer - none","Cromer","None - ""no published reports of association with HDFN""","Cromer","none",0.806451612903226,"13, 14","p","https://en.wikipedia.org/wiki/Decay-accelerating_factor"
37,"Diego - none_1",1,"Diego - none","Diego - none","Diego","None - ""no published reports of association with HDFN""","Diego","none",0.806451612903226,"2,3","p","https://en.wikipedia.org/wiki/Diego_antigen_system"
38,"Dombrock - none_1",1,"Dombrock - none","Dombrock - none","Dombrock","None - ""no published reports of association with HDFN""","Dombrock","none",0.806451612903226,"11, 12","p","https://en.wikipedia.org/wiki/ART4"
39,"Duffy - none_1",1,"Duffy - none","Duffy - none","Duffy","None - ""no published reports of association with HDFN""","Duffy","none",0.806451612903226,"13, 81, 82, 84","p","https://en.wikipedia.org/wiki/Duffy_antigen_system"
40,"Forssman - none_1",1,"Forssman - none","Forssman - none","Forssman","None - ""no published reports of association with HDFN""","Forssman","none",0.806451612903226,"1","p","https://en.wikipedia.org/wiki/Forssman_antigen"
41,"Gerbich - none_1",1,"Gerbich - none","Gerbich - none","Gerbich","None - ""no published reports of association with HDFN""","Gerbich","none",0.806451612903226,"27, 29","p","https://en.wikipedia.org/wiki/Glycophorin_C"
42,"Gill - none_1",1,"Gill - none","Gill - none","Gill","None - ""no published reports of association with HDFN""","Gill","none",0.806451612903226,"11","p","https://en.wikipedia.org/wiki/Aquaporin_3"
43,"I - none_1",1,"I - none","I - none","I","None - ""no published reports of association with HDFN""","I","none",0.806451612903226,"1","p","https://en.wikipedia.org/wiki/Ii_antigen_system"
44,"Indian - none_1",1,"Indian - none","Indian - none","Indian","None - ""no published reports of association with HDFN""","Indian","none",0.806451612903226,"1","p","https://en.wikipedia.org/wiki/Indian_blood_group_system"
45,"John_Milton - none_1",1,"John_Milton - none","John_Milton - none","John_Milton","None - ""no published reports of association with HDFN""","John_Milton","none",0.806451612903226,"13","p","https://en.wikipedia.org/wiki/SEMA7A"
46,"Kell - none_1",1,"Kell - none","Kell - none","Kell","None - ""no published reports of association with HDFN""","Kell","none",0.806451612903226,"1, 5, 6","p","https://en.wikipedia.org/wiki/Kell_antigen_system"
47,"Knops - none_1",1,"Knops - none","Knops - none","Knops","None - ""no published reports of association with HDFN""","Knops","none",0.806451612903226,"1, 27, 28","p","https://en.wikipedia.org/wiki/Complement_receptor_1"
48,"Kx - none_1",1,"Kx - none","Kx - none","Kx","None - ""no published reports of association with HDFN""","Kx","none",0.806451612903226,"1","p","https://en.wikipedia.org/wiki/XK_(protein)"
49,"Landsteiner_Weiner - none_1",1,"Landsteiner_Weiner - none","Landsteiner_Weiner - none","Landsteiner_Weiner","None - ""no published reports of association with HDFN""","Landsteiner_Weiner","none",0.806451612903226,"1, 7","p","https://en.wikipedia.org/wiki/Lan_blood_group_system"
50,"Lewis - none_1",1,"Lewis - none","Lewis - none","Lewis","None - ""no published reports of association with HDFN""","Lewis","none",0.806451612903226,"20, 21, 22","p","https://en.wikipedia.org/wiki/Lewis_antigen_system"
51,"Lutheran - none_1",1,"Lutheran - none","Lutheran - none","Lutheran","None - ""no published reports of association with HDFN""","Lutheran","none",0.806451612903226,"1, 2, 3","p","https://en.wikipedia.org/wiki/Lutheran_antigen_system"
52,"Mittenberger - none_1",1,"Mittenberger - none","Mittenberger - none","Mittenberger","None - ""no published reports of association with HDFN""","Mittenberger","none",0.806451612903226,"1","p","https://en.wikipedia.org/wiki/MNS_antigen_system"
53,"MNSs - none_1",1,"MNSs - none","MNSs - none","MNSs","None - ""no published reports of association with HDFN""","MNSs","none",0.806451612903226,"1, 2, 7, 8","p","https://en.wikipedia.org/wiki/MNS_antigen_system"
54,"Ok - none_1",1,"Ok - none","Ok - none","Ok","None - ""no published reports of association with HDFN""","Ok","none",0.806451612903226,"13","p","https://en.wikipedia.org/wiki/Basigin"
55,"P1Pk - none_1",1,"P1Pk - none","P1Pk - none","P1Pk","None - ""no published reports of association with HDFN""","P1Pk","none",0.806451612903226,"8","ul","https://en.wikipedia.org/wiki/P1PK_blood_group_system"
56,"Raph - none_1",1,"Raph - none","Raph - none","Raph","None - ""no published reports of association with HDFN""","Raph","none",0.806451612903226,"12","p","https://en.wikipedia.org/wiki/CD151"
57,"Rhesus - none_1",1,"Rhesus - none","Rhesus - none","Rhesus","None - ""no published reports of association with HDFN""","Rhesus","none",0.806451612903226,"1, 18, 19","p","https://en.wikipedia.org/wiki/Rh_blood_group_system"
58,"RHAG - none_1",1,"RHAG - none","RHAG - none","RHAG","None - ""no published reports of association with HDFN""","RHAG","none",0.806451612903226,"12","p","https://en.wikipedia.org/wiki/RHAG"
59,"Scianna - none_1",1,"Scianna - none","Scianna - none","Scianna","None - ""no published reports of association with HDFN""","Scianna","none",0.806451612903226,"1","p","https://en.wikipedia.org/wiki/Scianna_antigen_system"
60,"Yt(Cartwright) - none_1",1,"Yt(Cartwright) - none","Yt(Cartwright) - none","Yt(Cartwright)","None - ""no published reports of association with HDFN""","Yt(Cartwright)","none",0.806451612903226,"1","p","https://en.wikipedia.org/wiki/Yt_antigen_system"
61,"Xg - none_1",1,"Xg - none","Xg - none","Xg","None - ""no published reports of association with HDFN""","Xg","none",0.806451612903226,"1, 2","p","https://en.wikipedia.org/wiki/Xg_antigen_system"
62,"Cost - none_1",1,"Cost - none","Cost - none","Cost","None - ""no published reports of association with HDFN""","Cost","none",0.806451612903226,"4","p","https://en.wikipedia.org/wiki/Human_red_cell_antigens#Er"
63,"Er - none_1",1,"Er - none","Er - none","Er","None - ""no published reports of association with HDFN""","Er","none",0.806451612903226,"5","p","https://en.wikipedia.org/wiki/Human_red_cell_antigens#Er"
64,"High_prevalence_antigen - none_1",1,"High_prevalence_antigen - none","High_prevalence_antigen - none","High_prevalence_antigen","None - ""no published reports of association with HDFN""","High_prevalence_antigen","none",0.806451612903226,"7","p","https://en.wikipedia.org/wiki/Human_red_cell_antigens"
65,"Low_prevalence_antigen - none_1",1,"Low_prevalence_antigen - none","Low_prevalence_antigen - none","Low_prevalence_antigen","None - ""no published reports of association with HDFN""","Low_prevalence_antigen","none",0.806451612903226,"8","p","https://en.wikipedia.org/wiki/Human_red_cell_antigens"
66,"PP<sub>1</sub>P<sub>k</sub>_1",1,"PP<sub>1</sub>P<sub>k</sub>","Globoside - severe","PP<sub>1</sub>P<sub>k</sub>","Severe - ""published reports of hydrops fetalis or need for intrauterine transfusions.""","PP<sub>1</sub>P<sub>k</sub>","Globoside - severe",4.16666666666667,"1","p","https://en.wikipedia.org/wiki/Globoside"
67,"K_1",1,"K","Kell - severe","K","Severe - ""published reports of hydrops fetalis or need for intrauterine transfusions.""","K","Kell - severe",1.04166666666667,"1, 5, 6","p","https://en.wikipedia.org/wiki/Kell_antigen_system"
68,"k_1",1,"k","Kell - severe","k","Severe - ""published reports of hydrops fetalis or need for intrauterine transfusions.""","k","Kell - severe",1.04166666666667,"1, 5, 6","p","https://en.wikipedia.org/wiki/Kell_antigen_system"
69,"Ku_1",1,"Ku","Kell - severe","Ku","Severe - ""published reports of hydrops fetalis or need for intrauterine transfusions.""","Ku","Kell - severe",1.04166666666667,"1, 5, 6","p","https://en.wikipedia.org/wiki/Kell_antigen_system"
70,"Js<sup>b</sup>_1",1,"Js<sup>b</sup>","Kell - severe","Js<sup>b</sup>","Severe - ""published reports of hydrops fetalis or need for intrauterine transfusions.""","Js<sup>b</sup>","Kell - severe",1.04166666666667,"1, 5, 6","p","https://en.wikipedia.org/wiki/Kell_antigen_system"
71,"Mi<sup>a</sup>_1",1,"Mi<sup>a</sup>","Mittenberger - severe","Mi<sup>a</sup>","Severe - ""published reports of hydrops fetalis or need for intrauterine transfusions.""","Mi<sup>a</sup>","Mittenberger - severe",4.16666666666667,"1","p","https://en.wikipedia.org/wiki/MNS_antigen_system"
72,"Vw_1",1,"Vw","MNSs - severe","Vw","Severe - ""published reports of hydrops fetalis or need for intrauterine transfusions.""","Vw","MNSs - severe",1.38888888888889,"1, 2, 7, 8","p","https://en.wikipedia.org/wiki/MNS_antigen_system"
73,"Mur_1",1,"Mur","MNSs - severe","Mur","Severe - ""published reports of hydrops fetalis or need for intrauterine transfusions.""","Mur","MNSs - severe",1.38888888888889,"1, 2, 7, 8","p","https://en.wikipedia.org/wiki/MNS_antigen_system"
74,"MUT_1",1,"MUT","MNSs - severe","MUT","Severe - ""published reports of hydrops fetalis or need for intrauterine transfusions.""","MUT","MNSs - severe",1.38888888888889,"1, 2, 7, 8","p","https://en.wikipedia.org/wiki/MNS_antigen_system"
75,"D_1",1,"D","Rhesus - severe","D","Severe - ""published reports of hydrops fetalis or need for intrauterine transfusions.""","D","Rhesus - severe",0.694444444444445,"1, 18, 19","p","https://en.wikipedia.org/wiki/Rh_blood_group_system"
76,"c_1",1,"c","Rhesus - severe","c","Severe - ""published reports of hydrops fetalis or need for intrauterine transfusions.""","c","Rhesus - severe",0.694444444444445,"1, 18, 19","p","https://en.wikipedia.org/wiki/Rh_blood_group_system"
77,"f_1",1,"f","Rhesus - severe","f","Severe - ""published reports of hydrops fetalis or need for intrauterine transfusions.""","f","Rhesus - severe",0.694444444444445,"1, 18, 19","p","https://en.wikipedia.org/wiki/Rh_blood_group_system"
78,"Ce_1",1,"Ce","Rhesus - severe","Ce","Severe - ""published reports of hydrops fetalis or need for intrauterine transfusions.""","Ce","Rhesus - severe",0.694444444444445,"1, 18, 19","p","https://en.wikipedia.org/wiki/Rh_blood_group_system"
79,"C<sup>w</sup>_1",1,"C<sup>w</sup>","Rhesus - severe","C<sup>w</sup>","Severe - ""published reports of hydrops fetalis or need for intrauterine transfusions.""","C<sup>w</sup>","Rhesus - severe",0.694444444444445,"1, 18, 19","p","https://en.wikipedia.org/wiki/Rh_blood_group_system"
80,"cE_1",1,"cE","Rhesus - severe","cE","Severe - ""published reports of hydrops fetalis or need for intrauterine transfusions.""","cE","Rhesus - severe",0.694444444444445,"1, 18, 19","p","https://en.wikipedia.org/wiki/Rh_blood_group_system"
81,"HJK_1",1,"HJK","Low_prevalence_antigen - severe","HJK","Severe - ""published reports of hydrops fetalis or need for intrauterine transfusions.""","HJK","Low_prevalence_antigen - severe",4.16666666666667,"8","p","https://en.wikipedia.org/wiki/Human_red_cell_antigens"
82,"Co<sup>a</sup>_1",1,"Co<sup>a</sup>","Colton - moderate","Co<sup>a</sup>","Moderate - ""published reports of need for exchange transfusion in neonatal life.""","Co<sup>a</sup>","Colton - moderate",2.77777777777778,"1, 2","p","https://en.wikipedia.org/wiki/Colton_antigen_system"
83,"Di<sup>a</sup>_1",1,"Di<sup>a</sup>","Diego - moderate","Di<sup>a</sup>","Moderate - ""published reports of need for exchange transfusion in neonatal life.""","Di<sup>a</sup>","Diego - moderate",0.694444444444444,"2,3","p","https://en.wikipedia.org/wiki/Diego_antigen_system"
84,"Di<sup>b</sup>_1",1,"Di<sup>b</sup>","Diego - moderate","Di<sup>b</sup>","Moderate - ""published reports of need for exchange transfusion in neonatal life.""","Di<sup>b</sup>","Diego - moderate",0.694444444444444,"2,3","p","https://en.wikipedia.org/wiki/Diego_antigen_system"
85,"Wr<sup>a</sup>_1",1,"Wr<sup>a</sup>","Diego - moderate","Wr<sup>a</sup>","Moderate - ""published reports of need for exchange transfusion in neonatal life.""","Wr<sup>a</sup>","Diego - moderate",0.694444444444444,"2,3","p","https://en.wikipedia.org/wiki/Diego_antigen_system"
86,"ELO_1",1,"ELO","Diego - moderate","ELO","Moderate - ""published reports of need for exchange transfusion in neonatal life.""","ELO","Diego - moderate",0.694444444444444,"2,3","p","https://en.wikipedia.org/wiki/Diego_antigen_system"
87,"Fy<sup>a</sup>_1",1,"Fy<sup>a</sup>","Duffy - moderate","Fy<sup>a</sup>","Moderate - ""published reports of need for exchange transfusion in neonatal life.""","Fy<sup>a</sup>","Duffy - moderate",2.77777777777778,"13, 81, 82, 84","p","https://en.wikipedia.org/wiki/Duffy_antigen_system"
88,"Ge3_1",1,"Ge3","Gerbich - moderate","Ge3","Moderate - ""published reports of need for exchange transfusion in neonatal life.""","Ge3","Gerbich - moderate",2.77777777777778,"27, 29","p","https://en.wikipedia.org/wiki/Glycophorin_C"
89,"H_1",1,"H","H - moderate","H","Moderate - ""published reports of need for exchange transfusion in neonatal life.""","H","H - moderate",2.77777777777778,"1","li","https://en.wikipedia.org/wiki/H_antigen"
90,"Kp<sup>b</sup>_1",1,"Kp<sup>b</sup>","Kell - moderate","Kp<sup>b</sup>","Moderate - ""published reports of need for exchange transfusion in neonatal life.""","Kp<sup>b</sup>","Kell - moderate",2.77777777777778,"1, 5, 6","p","https://en.wikipedia.org/wiki/Kell_antigen_system"
91,"U_1",1,"U","MNSs - moderate","U<br>(moderate, <br>rare:severe)","Moderate - ""published reports of need for exchange transfusion in neonatal life.""","U","MNSs - moderate",0.555555555555556,"1, 2, 7, 8","p","https://en.wikipedia.org/wiki/MNS_antigen_system"
92,"S_1",1,"S","MNSs - moderate","S","Moderate - ""published reports of need for exchange transfusion in neonatal life.""","S","MNSs - moderate",0.555555555555556,"1, 2, 7, 8","p","https://en.wikipedia.org/wiki/MNS_antigen_system"
93,"s_1",1,"s","MNSs - moderate","s","Moderate - ""published reports of need for exchange transfusion in neonatal life.""","s","MNSs - moderate",0.555555555555556,"1, 2, 7, 8","p","https://en.wikipedia.org/wiki/MNS_antigen_system"
94,"Mt<sup>a</sup>_1",1,"Mt<sup>a</sup>","MNSs - moderate","Mt<sup>a</sup>","Moderate - ""published reports of need for exchange transfusion in neonatal life.""","Mt<sup>a</sup>","MNSs - moderate",0.555555555555556,"1, 2, 7, 8","p","https://en.wikipedia.org/wiki/MNS_antigen_system"
95,"Mt(v)_1",1,"Mt(v)","MNSs - moderate","Mt(v)","Moderate - ""published reports of need for exchange transfusion in neonatal life.""","Mt(v)","MNSs - moderate",0.555555555555556,"1, 2, 7, 8","p","https://en.wikipedia.org/wiki/MNS_antigen_system"
96,"E_1",1,"E","Rhesus - moderate","E<br>(moderate,<br>rare:severe)","Moderate - ""published reports of need for exchange transfusion in neonatal life.""","E","Rhesus - moderate",0.396825396825397,"1, 18, 19","p","https://en.wikipedia.org/wiki/Rh_blood_group_system"
97,"Hr<sup>0</sup>_1",1,"Hr<sup>0</sup>","Rhesus - moderate","Hr<sup>0</sup><br>(moderate,<br>rare:severe)","Moderate - ""published reports of need for exchange transfusion in neonatal life.""","Hr<sup>0</sup>","Rhesus - moderate",0.396825396825397,"1, 18, 19","p","https://en.wikipedia.org/wiki/Rh_blood_group_system"
98,"E<sup>w</sup>_1",1,"E<sup>w</sup>","Rhesus - moderate","E<sup>w</sup>","Moderate - ""published reports of need for exchange transfusion in neonatal life.""","E<sup>w</sup>","Rhesus - moderate",0.396825396825397,"1, 18, 19","p","https://en.wikipedia.org/wiki/Rh_blood_group_system"
99,"hr<sup>s</sup>_1",1,"hr<sup>s</sup>","Rhesus - moderate","hr<sup>s</sup>","Moderate - ""published reports of need for exchange transfusion in neonatal life.""","hr<sup>s</sup>","Rhesus - moderate",0.396825396825397,"1, 18, 19","p","https://en.wikipedia.org/wiki/Rh_blood_group_system"
100,"Tar_1",1,"Tar","Rhesus - moderate","Tar","Moderate - ""published reports of need for exchange transfusion in neonatal life.""","Tar","Rhesus - moderate",0.396825396825397,"1, 18, 19","p","https://en.wikipedia.org/wiki/Rh_blood_group_system"
101,"Rh32_1",1,"Rh32","Rhesus - moderate","Rh32","Moderate - ""published reports of need for exchange transfusion in neonatal life.""","Rh32","Rhesus - moderate",0.396825396825397,"1, 18, 19","p","https://en.wikipedia.org/wiki/Rh_blood_group_system"
102,"Hr<sup>b</sup>_1",1,"Hr<sup>b</sup>","Rhesus - moderate","Hr<sup>b</sup>","Moderate - ""published reports of need for exchange transfusion in neonatal life.""","Hr<sup>b</sup>","Rhesus - moderate",0.396825396825397,"1, 18, 19","p","https://en.wikipedia.org/wiki/Rh_blood_group_system"
103,"Kg_1",1,"Kg","Low_prevalence_antigen - moderate","Kg","Moderate - ""published reports of need for exchange transfusion in neonatal life.""","Kg","Low_prevalence_antigen - moderate",1.38888888888889,"8","p","https://en.wikipedia.org/wiki/Human_red_cell_antigens"
104,"Sara_1",1,"Sara","Low_prevalence_antigen - moderate","Sara","Moderate - ""published reports of need for exchange transfusion in neonatal life.""","Sara","Low_prevalence_antigen - moderate",1.38888888888889,"8","p","https://en.wikipedia.org/wiki/Human_red_cell_antigens"
105,"A_1",1,"A","ABO - mild","A","Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life""","A","ABO - mild",0.892857142857143,"2, 30","p","https://en.wikipedia.org/wiki/ABO_blood_group_system"
106,"B_1",1,"B","ABO - mild","B","Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life""","B","ABO - mild",0.892857142857143,"2, 30","p","https://en.wikipedia.org/wiki/ABO_blood_group_system"
107,"Co<sup>b</sup>_1",1,"Co<sup>b</sup>","Colton - mild","Co<sup>b</sup>","Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life""","Co<sup>b</sup>","Colton - mild",0.892857142857143,"1, 2","p","https://en.wikipedia.org/wiki/Colton_antigen_system"
108,"Co<sup>3</sup>_1",1,"Co<sup>3</sup>","Colton - mild","Co<sup>3</sup>","Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life""","Co<sup>3</sup>","Colton - mild",0.892857142857143,"1, 2","p","https://en.wikipedia.org/wiki/Colton_antigen_system"
109,"Fy<sup>b</sup>_1",1,"Fy<sup>b</sup>","Duffy - mild","Fy<sup>b</sup>","Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life""","Fy<sup>b</sup>","Duffy - mild",1.78571428571429,"13, 81, 82, 84","p","https://en.wikipedia.org/wiki/Duffy_antigen_system"
110,"Jr<sup>a</sup>_1",1,"Jr<sup>a</sup>","Junior - mild","Jr<sup>a</sup><br>(mild, rare:severe)","Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life""","Jr<sup>a</sup>","Junior - mild",1.78571428571429,"1","p","https://en.wikipedia.org/wiki/Junior_blood_group_system"
111,"Kp<sup>a</sup>_1",1,"Kp<sup>a</sup>","Kell - mild","Kp<sup>a</sup>","Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life""","Kp<sup>a</sup>","Kell - mild",0.595238095238095,"1, 5, 6","p","https://en.wikipedia.org/wiki/Kell_antigen_system"
112,"Js<sup>a</sup>_1",1,"Js<sup>a</sup>","Kell - mild","Js<sup>a</sup>","Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life""","Js<sup>a</sup>","Kell - mild",0.595238095238095,"1, 5, 6","p","https://en.wikipedia.org/wiki/Kell_antigen_system"
113,"Ul<sup>a</sup>_1",1,"Ul<sup>a</sup>","Kell - mild","Ul<sup>a</sup>","Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life""","Ul<sup>a</sup>","Kell - mild",0.595238095238095,"1, 5, 6","p","https://en.wikipedia.org/wiki/Kell_antigen_system"
114,"Jk<sup>a</sup>_1",1,"Jk<sup>a</sup>","Kidd - mild","Jk<sup>a</sup><br>(mild, rare:severe)","Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life""","Jk<sup>a</sup>","Kidd - mild",0.595238095238095,"1, 2, 16","p","https://en.wikipedia.org/wiki/Kidd_antigen_system"
